Context,English,Chinese_Trad
lore_mistlands_random07,"Wanderers in fog,
Where do you go?
Not knowing what you were,
Nor seeing where you go.",
dream_mistlands01,"In your dream, you walk through a hall of smiling warriors and gracious maidens. You join with their mirth until you realise that you are naked and the small bronze shield you are carrying is not enough to cover your shame.

You greet the morning with gratitude.",
dream_mistlands02,"Dark-eyed Loki approaches you in your dream and gifts you a ring for each hand. He tells you that as long as they stay on your fingers, you will never hear an insulting word again.

You wake with your fingers in your ears.",
dream_mistlands03,"You climb a winding staircase, curled tightly within a tall tower, until you arrive at the top and look out over an endless forest.

The wind blows green waves across the tree-tops and beneath the surface, dark shapes stir...",
item_cape_feather,Feather cape,
item_cape_feather_description,"Donning this cape makes you feel lighter, almost as if you could fly!",
piece_marblepile,Black marble pile,
piece_crate,Crate,
piece_blackmarble_bench,Black marble bench,
piece_blackmarble_table,Black marble table,
piece_blackmarble_throne,Black marble throne,
piece_hanging_cloth_blue1,Blue jute drapes,
piece_hanging_cloth_blue2,Blue jute curtain,
item_blackcore,Black core,
item_blackcore_description,Filled to the brim with ancient power.,
item_dvergrneedle,Dvergr extractor,
item_dvergrneedle_description,Looks like a perfect piece for piercing something...,
item_wisp,Wisp,
item_wisp_description,It keeps whispering jibberish...,
piece_wisplure,Wisp fountain,
piece_wisplure_description,"Attracts wisps, they mostly come at night...mostly",
piece_wisplure_nospace,The wisps wants more open space,
piece_wisplure_light,The wisps demand darkness,
piece_wisplure_ok,The wisps are coming,
piece_wisplure_full,The wisps are dancing,
item_bronzescrap,Scrap bronze,
item_bronzescrap_description,It's old and oxidized but can be smelted and used again.,
customization_hair15,Pulled back curls,
customization_hair16,Gathered braids,
customization_hair17,Neat braids,
customization_hair18,Royal braids,
customization_hair19,Curls 1,
customization_hair20,Curls 2,
customization_hair21,Twin buns,
customization_hair22,Single bun,
customization_beard11,Thick 2,
customization_beard12,Royal 1,
customization_beard13,Royal 2,
customization_beard14,Braided 5,
customization_beard15,Short 4,
customization_beard16,Stonedweller,
customization_hair23,Short curls,
item_dvergrtankard,Dvergr tankard,
item_dvergrtankard_description,It can hold a lot of mead!,
item_spear_carapace,Carapace spear,
item_spear_carapace_description,"Sharpened to jagged perfection, this spear is sure to be deadly.",
item_shield_carapacebuckler,Carapace buckler,
item_shield_carapacebuckler_description,"The skull of a seeker is solid but not heavy, which makes it perfect for a small and agile shield.",
item_shield_carapace,Carapace shield,
item_shield_carapace_description,The almost unbreakable carapace of your enemies makes an excellent shield.,
item_bilebomb,Bile bomb,
item_bilebomb_description,Handle with care.,
piece_dvergr_woodwall,Dvergr wall,
piece_dvergr_pole,Dvergr pole,
piece_dvergr_sharpstakes,Dvergr sharp stakes,
piece_dvergr_lantern,Dvergr wall lantern,
piece_dvergr_lantern_pole,Dvergr lantern pole,
piece_sapling_jotunpuffs,Jotun puffs primordia,
piece_sapling_magecap,Magecap primordia,
item_lantern,Dvergr lantern,
item_lantern_description,A simple torch would just be so old fashioned.,
piece_dv_gate,Old dvergr gate,
piece_woodironbeam_26,Wood iron beam 26°,
piece_woodironbeam_45,Wood iron beam 45°,
piece_darkwoodbeam_26,Darkwood beam 26°,
piece_darkwoodbeam_45,Darkwood beam 45°,
piece_dvergr_metal_wall,Dvergr metal wall,
event_gjallarmy_start,"What's up, Gjall!?",
event_gjallarmy_end,Good bye Gjall.,
event_seekerarmy_start,They sought you out.,
event_seekerarmy_end,The search is over.,
piece_dvergrchest,Dvergr treasure chest,
piece_dvergr_spiralstair,Dvergr spiral left stair,
piece_dvergr_spiralstair_right,Dvergr spiral right stair,
piece_dvergr_door,Dvergr door,
name_mistlands_bosshint,A mysterious text,
text_mistlands_bosshint,"The gate is sealed. The key is scattered and hidden, deep in the mines, so it might never again be unsealed. The gate is sealed.",
piece_crate_long,Dvergr component crate,
item_honeyglazedchickenuncooked,Uncooked honey glazed chicken,
item_honeyglazedchicken,Honey glazed chicken,
item_honeyglazedchicken_description,Grilled to perfection. Makes both eyes and mouths water.,
item_magicallystuffedmushroom,Stuffed mushroom,
item_magicallystuffedmushroom_description,Bursting with magical flavour.,
item_magicallystuffedmushroomuncooked,Uncooked magically stuffed shroom,
npc_munin,Munin,
tutorial_eitr,"It seems you have had a sip from an yggrasil branch, and I bet you found it to your liking.
Those fun colored lights you may see spinning around you might not all be in your head anymore.
Just don't make it a habit. There may be some long term effects that are anything but magical.",
tutorial_yggroot_text,"Kraa! Although severed from the trunk, I can see that magic still lingers in the roots of the old ash.

Needless to say, no weapon of your design will be able to break the bark. You need something better, fashioned by more capable hands.",
lore_giants_text,"Shadows of an ancient age. The Jotunn once ruled the 10th world, until their time ran out and they were ousted by some other power.",
tutorial_giants_text,Kraa! Pick their bones and break their domes!,
lore_dvergrhalls_text,"These are the Dvergrhomes, built long ago in a gilded age... Their splendour rivalled the Golden Hall itself!

Regrettably, nothing can last forever. The halls below and the treasures left within are now guarded by more sinister lodgers.",
tutorial_dvergrhalls_text,"As I am sure my lesser brother tells you, the halls beyond are very impressive...

Just try not to get lost in the winding tunnels and secret passageways will you?",
tutorial_magetable_text,"Trying your hand at scrying the runes are you? I'm impressed, sorceror!

Charms and conjurations will take their toll. If you wish to master the arts you must find appropriate sustenance. As it happens, the parts around here are looking ripe with all sorts of delicious new ingredients to gather. Lucky you!",
tutorial_tissueref_text,"Warrior, what kind of contraption is this?! It looks dangerous...

There is a grinding funnel up here, I wonder what you will put into it.",
tutorial_wispattractor_text,"A strange edifice indeed. I wonder what it will attract. Let us just perch here for a while and see what happens...


Warrior, I am bored. Besides, it is not my job to babysit the likes of you long into the night... Just be vigilant and I'm sure you will rewarded.",
tutorial_dvergr_text,Kra-kraaa! Stubborn fools! The Dvergr will tolerate strangers and vagrants but they are quick to anger should you upset them... Which I am sure you will manage to do sooner or later.,
lore_dvergr_text,"Take care, warrior. You've happened upon an outpost of the forlorn Dvergr clans, long since separated from their kin in Nidavellir. Trapped here they still toil, expecting reprieve that will never come. It is a sad fate...",
lore_munin_text,"Kraa! Well met, wanderer… I am Munin, brother to Hugin. I bring greetings from the Allfather. His eye sees through mine, I carry his words beneath my tongue. Keep his ways and I will come to you again…",
guardianstone_thequeen_desc,"Born in armour,
Mother of many.
Queen without crown,
Ruler beneath.",
lore_queen,We sealed the door and scattered the key. Leave her be.,
deadspeak_queen,Tell Odin that my kin will bring forth another... A monarch never dies.,
msg_needdirt,This area can't be cultivated.,
enemy_boss_queen_alertmessage,The Queen wants it all,
enemy_boss_queen_deathmessage,Long live the Queen,
piece_dvergr_stake_wall,Dvergr stakewall,
tutorial_eitr_text,"The mists permeate all that live and grow in these lands, and now it is a part of you as well.

With Eitr you will be able to cast all sorts of powerfull spells. Try to find more Eitr-infused ingredients to increase your ability.",
tutorial_randomimp4,I have a tale or two to tell.,
tutorial_randomimp5,Kraa? Kaaaw!,
tutorial_randomimp6,Harken!,
tutorial_random4,"Busy, warrior? I can come back later...",
tutorial_random5,Please come and listen.,
tutorial_random6,Kraa? Kaaaw!,
